epoch:0, mean fscore: 0.065127907159606187226
epoch:1, mean fscore: 0.10973988181950582714
epoch:2, mean fscore: 0.13020296133378765579
epoch:3, mean fscore: 0.1748883472260302247
epoch:4, mean fscore: 0.22959638832637532399
epoch:5, mean fscore: 0.10861487539626261127
epoch:6, mean fscore: 0.3332744270947245863
epoch:7, mean fscore: 0.16519845454949407665
epoch:8, mean fscore: 0.30351533054405669104
epoch:9, mean fscore: 0.25896768516672917293
epoch:10, mean fscore: 0.4865290120657247701
epoch:11, mean fscore: 0.48922921592472611127
epoch:12, mean fscore: 0.49616881062212353815
epoch:13, mean fscore: 0.5181696110586258769
epoch:14, mean fscore: 0.43571098013354154252
epoch:15, mean fscore: 0.5303248512820155308
epoch:16, mean fscore: 0.5322091416424366689
epoch:17, mean fscore: 0.51403509658796874346
epoch:18, mean fscore: 0.5058092377388108741
epoch:19, mean fscore: 0.48873362302795697614
epoch:20, mean fscore: 0.52994012144845307945
epoch:21, mean fscore: 0.51974322187539394953
epoch:22, mean fscore: 0.5321516733963129827
epoch:23, mean fscore: 0.50901935667229349704
epoch:24, mean fscore: 0.52039847332079525665
epoch:25, mean fscore: 0.5256499935584565059
epoch:26, mean fscore: 0.5061596394410810795
epoch:27, mean fscore: 0.5011530552914073372
epoch:28, mean fscore: 0.49494295732430947552
epoch:29, mean fscore: 0.5476055662347897889
epoch:30, mean fscore: 0.52680701312768492565
epoch:31, mean fscore: 0.5288080236505857465
epoch:32, mean fscore: 0.49360082587728339857
epoch:33, mean fscore: 0.50221053250599618454
epoch:34, mean fscore: 0.47388784677617199213
epoch:35, mean fscore: 0.5271840470343775558
epoch:36, mean fscore: 0.40623069108755596507
epoch:37, mean fscore: 0.53307474755126627687
epoch:38, mean fscore: 0.3836920080787558795
epoch:39, mean fscore: 0.51416417519523389723
epoch:40, mean fscore: 0.5388682346605501417
epoch:41, mean fscore: 0.359539398055095517
epoch:42, mean fscore: 0.53345084414856690496
epoch:43, mean fscore: 0.50967684312633054723
epoch:44, mean fscore: 0.47879892709391802392
epoch:45, mean fscore: 0.49830068041170094595
epoch:46, mean fscore: 0.5416378355084116622
epoch:47, mean fscore: 0.5446120893740706593
epoch:48, mean fscore: 0.49996845094622945408
epoch:49, mean fscore: 0.52041050571845454007
epoch:50, mean fscore: 0.5339301760919256604
epoch:51, mean fscore: 0.5260464827061340649
epoch:52, mean fscore: 0.5324841271289552308
epoch:53, mean fscore: 0.5303507265866137049
epoch:54, mean fscore: 0.53452540612016054066
epoch:55, mean fscore: 0.526736052037177879
epoch:56, mean fscore: 0.5460071097173991028
epoch:57, mean fscore: 0.5212205185459379187
epoch:58, mean fscore: 0.5187603473520555963
epoch:59, mean fscore: 0.49494103314372589735
