epoch:0, mean IoU: 0.03679697175548154308
epoch:1, mean IoU: 0.07014324471521303587
epoch:2, mean IoU: 0.08785487487004268949
epoch:3, mean IoU: 0.13425545036442518327
epoch:4, mean IoU: 0.17056679679988000251
epoch:5, mean IoU: 0.061041436745769734735
epoch:6, mean IoU: 0.25776197624278320505
epoch:7, mean IoU: 0.09894474679564362534
epoch:8, mean IoU: 0.22840894216005798751
epoch:9, mean IoU: 0.17522760394678494547
epoch:10, mean IoU: 0.3636406514662706489
epoch:11, mean IoU: 0.36403414109838538756
epoch:12, mean IoU: 0.3755327370497906817
epoch:13, mean IoU: 0.40181814584470994795
epoch:14, mean IoU: 0.30766628997841478845
epoch:15, mean IoU: 0.41226226774092832045
epoch:16, mean IoU: 0.4144830926135965399
epoch:17, mean IoU: 0.39427884379430042417
epoch:18, mean IoU: 0.38429863084602258858
epoch:19, mean IoU: 0.36336685625412904727
epoch:20, mean IoU: 0.41245552844472158286
epoch:21, mean IoU: 0.40041610301239162977
epoch:22, mean IoU: 0.41319567178987936913
epoch:23, mean IoU: 0.39295304358518559978
epoch:24, mean IoU: 0.4012787288027568862
epoch:25, mean IoU: 0.40744107204858994793
epoch:26, mean IoU: 0.38461995427934476645
epoch:27, mean IoU: 0.38819677385573132062
epoch:28, mean IoU: 0.3768683723302544901
epoch:29, mean IoU: 0.43538641201337130058
epoch:30, mean IoU: 0.41116301016822366608
epoch:31, mean IoU: 0.41111084180598259563
epoch:32, mean IoU: 0.3763936254440762497
epoch:33, mean IoU: 0.38157768679457045515
epoch:34, mean IoU: 0.35473184296124893192
epoch:35, mean IoU: 0.4092989297906503448
epoch:36, mean IoU: 0.28040315362395982067
epoch:37, mean IoU: 0.41583731977904991517
epoch:38, mean IoU: 0.2781550381984573617
epoch:39, mean IoU: 0.39830343637770624507
epoch:40, mean IoU: 0.42125203907725304063
epoch:41, mean IoU: 0.25607250860898075326
epoch:42, mean IoU: 0.4160230320730313206
epoch:43, mean IoU: 0.3885810624187949461
epoch:44, mean IoU: 0.35220306966527944114
epoch:45, mean IoU: 0.376407628041049049
epoch:46, mean IoU: 0.4281500827354890269
epoch:47, mean IoU: 0.43156955661742709156
epoch:48, mean IoU: 0.38028289295042561107
epoch:49, mean IoU: 0.39969206339949298512
epoch:50, mean IoU: 0.41645701682483198978
epoch:51, mean IoU: 0.40603352267624878266
epoch:52, mean IoU: 0.41498416551990657835
epoch:53, mean IoU: 0.4117820304580365108
epoch:54, mean IoU: 0.42149288303591882926
epoch:55, mean IoU: 0.40944684704165068006
epoch:56, mean IoU: 0.43031411887187903323
epoch:57, mean IoU: 0.40455186640313462414
epoch:58, mean IoU: 0.40083606958401893973
epoch:59, mean IoU: 0.37717458871596159896
