epoch:0, mean precision: 0.0796688593232455784
epoch:1, mean precision: 0.103770123158412349355
epoch:2, mean precision: 0.27351420113232822247
epoch:3, mean precision: 0.33426920482661955187
epoch:4, mean precision: 0.3936007446725925706
epoch:5, mean precision: 0.37084029465626580416
epoch:6, mean precision: 0.4556554512613007621
epoch:7, mean precision: 0.38467398143317967543
epoch:8, mean precision: 0.35236768712834915223
epoch:9, mean precision: 0.35763430022263980245
epoch:10, mean precision: 0.4716451979317579655
epoch:11, mean precision: 0.46747658099171623885
epoch:12, mean precision: 0.44615388282203167445
epoch:13, mean precision: 0.593862040560912223
epoch:14, mean precision: 0.5481974130583568741
epoch:15, mean precision: 0.4971585423273555342
epoch:16, mean precision: 0.55340690074937628844
epoch:17, mean precision: 0.57963739735348052964
epoch:18, mean precision: 0.61819959744330062515
epoch:19, mean precision: 0.50747350473515794045
epoch:20, mean precision: 0.54796647289797584084
epoch:21, mean precision: 0.53970612905467030593
epoch:22, mean precision: 0.54526639785419093147
epoch:23, mean precision: 0.51109957919540872635
epoch:24, mean precision: 0.51233772561810144304
epoch:25, mean precision: 0.5444737146648580361
epoch:26, mean precision: 0.50081949269581164225
epoch:27, mean precision: 0.57058049543076680855
epoch:28, mean precision: 0.4961441518450548429
epoch:29, mean precision: 0.54626548677331658935
epoch:30, mean precision: 0.5785888038688420518
epoch:31, mean precision: 0.5813553606319880004
epoch:32, mean precision: 0.45355065212265618813
epoch:33, mean precision: 0.49876916667847574706
epoch:34, mean precision: 0.54907415779564614015
epoch:35, mean precision: 0.59123354192254586525
epoch:36, mean precision: 0.31329633547843764468
epoch:37, mean precision: 0.5289648754488281905
epoch:38, mean precision: 0.5360448865211241813
epoch:39, mean precision: 0.5554954808908914595
epoch:40, mean precision: 0.5412061105350217098
epoch:41, mean precision: 0.32179272186145309732
epoch:42, mean precision: 0.51482882259444950256
epoch:43, mean precision: 0.4700507193082896611
epoch:44, mean precision: 0.4996572270363365147
epoch:45, mean precision: 0.4594743777487866957
epoch:46, mean precision: 0.59224598727494492625
epoch:47, mean precision: 0.61001196433028195257
epoch:48, mean precision: 0.52333688888485429343
epoch:49, mean precision: 0.4915107790924143114
epoch:50, mean precision: 0.5518059761826099478
epoch:51, mean precision: 0.55033868398601891084
epoch:52, mean precision: 0.5314992126678983283
epoch:53, mean precision: 0.53571396000888912555
epoch:54, mean precision: 0.6039444356981559062
epoch:55, mean precision: 0.52969266985253675645
epoch:56, mean precision: 0.5395859910145609467
epoch:57, mean precision: 0.52518684617982191537
epoch:58, mean precision: 0.55912694969665718164
epoch:59, mean precision: 0.52473347441967070203
