epoch:0, mean recall: 0.08489774727463195986
epoch:1, mean recall: 0.21380735335696502348
epoch:2, mean recall: 0.12781620345705180262
epoch:3, mean recall: 0.20278207463354120523
epoch:4, mean recall: 0.21631864561560508319
epoch:5, mean recall: 0.22190413578662369081
epoch:6, mean recall: 0.32634862142298834382
epoch:7, mean recall: 0.1866143446959501688
epoch:8, mean recall: 0.38846101057401775732
epoch:9, mean recall: 0.39014006480857675759
epoch:10, mean recall: 0.52820643956833792764
epoch:11, mean recall: 0.5251389435059655731
epoch:12, mean recall: 0.5832566731562045273
epoch:13, mean recall: 0.48130303864210995435
epoch:14, mean recall: 0.39211805040335801382
epoch:15, mean recall: 0.56852967779835980144
epoch:16, mean recall: 0.51811079915555720423
epoch:17, mean recall: 0.47211760632079573694
epoch:18, mean recall: 0.45321950274762210325
epoch:19, mean recall: 0.5256551751194357675
epoch:20, mean recall: 0.5248234077396706684
epoch:21, mean recall: 0.5082179840978507891
epoch:22, mean recall: 0.5336115368047885585
epoch:23, mean recall: 0.5255665281263053179
epoch:24, mean recall: 0.5452322776940755539
epoch:25, mean recall: 0.52766469589439314266
epoch:26, mean recall: 0.52006786480274181864
epoch:27, mean recall: 0.45432717354835551666
epoch:28, mean recall: 0.5208922431804859646
epoch:29, mean recall: 0.5503625907248037458
epoch:30, mean recall: 0.5046581471296161327
epoch:31, mean recall: 0.5048285165552418812
epoch:32, mean recall: 0.5579187453001477929
epoch:33, mean recall: 0.5339346416382657073
epoch:34, mean recall: 0.45225768215282424392
epoch:35, mean recall: 0.4938383171201393
epoch:36, mean recall: 0.58564324840608585965
epoch:37, mean recall: 0.5389879386856158092
epoch:38, mean recall: 0.3596089547501104021
epoch:39, mean recall: 0.4940403302857816374
epoch:40, mean recall: 0.54596684183519827175
epoch:41, mean recall: 0.52076902010490774505
epoch:42, mean recall: 0.55681233630445506815
epoch:43, mean recall: 0.5679377940878589245
epoch:44, mean recall: 0.48084349127222081918
epoch:45, mean recall: 0.56315958262700720356
epoch:46, mean recall: 0.50468354690281711135
epoch:47, mean recall: 0.49926218030894506698
epoch:48, mean recall: 0.5006700986034846603
epoch:49, mean recall: 0.55810765264881112574
epoch:50, mean recall: 0.528671156949396359
epoch:51, mean recall: 0.51845159813415723235
epoch:52, mean recall: 0.54180299753421634954
epoch:53, mean recall: 0.5358795997843567156
epoch:54, mean recall: 0.5020172553954878722
epoch:55, mean recall: 0.5308159663426034673
epoch:56, mean recall: 0.5600731849494521966
epoch:57, mean recall: 0.5227839324057878613
epoch:58, mean recall: 0.50860939229739002596
epoch:59, mean recall: 0.5058845290083461722
